id,original_language,title,genre_list,cast_list,crew_list,comp_list
2539,en,Spanglish,Comedy ,JohnClasky DeborahClasky FlorMoreno ,James L. Brooks,GracieFilms ColumbiaPicturesCorporation 
9297,en,Monster House,Animation Comedy Family Fantasy ,LittleGirl(voice) Nebbercracker(voice) Douglas'DJ'Hartner(voice) ,Gil Kenan,ColumbiaPictures AmblinEntertainment SonyPicturesAnimation SonyPicturesEntertainment ImageMovers 
3172,en,Bandits,Action Comedy Crime Romance ,JoshepBlake TerryLeeCollins KateWheeler ,Barry Levinson,CheyenneEnterprises EpsilonMotionPictures EmpirePictures Metro-Goldwyn-Mayer(MGM) HydeParkEntertainment BaltimoreSpringCreekProductions LotusPictures 
6520,en,First Knight,Action Adventure Drama Romance ,KingArthur Lancelot Guinevere ,Jerry Zucker,ColumbiaPicturesCorporation FirstKnightProductions 
1439,en,Anna and the King,Drama History Romance ,AnnaLeonowens KingMongkut Tuptim ,Andy Tennant,Fox2000Pictures 
37958,en,Immortals,Fantasy Action Drama ,KingHyperion Poseidon Athena ,Tarsem Singh,VirginProduced MarkCantonProductions 
2026,en,Hostage,Mystery Drama Thriller Crime ,JeffTalley WalterSmith TommySmith ,Florent-Emilio Siri,MiramaxFilms CheyenneEnterprises YariFilmGroup StratusFilmCo. SyndicateFilmsInternational EquityPicturesMedienfondsGmbH&Co.KGII HostageGmbH 
7450,en,Titan A.E.,Animation Action Science Fiction Family Adventure ,CaleTucker CaptainKorso Akima ,Gary Goldman,TwentiethCenturyFoxFilmCorporation DavidKirschnerProductions FoxAnimationStudios 
11375,en,Hollywood Homicide,Action Adventure Comedy Thriller ,Sgt.JoeGavilan Det.K.C.Calden Ruby ,Ron Shelton,ColumbiaPictures RevolutionStudios 
9425,en,Soldier,Action War Science Fiction ,Todd Caine607 ColonelMekum ,Paul W.S. Anderson,ImpactPictures JerryWeintraubProductions WarnerBros. MorganCreekProductions 
25769,en,Carriers,Action Drama Horror Science Fiction Thriller ,DannyGreen BrianGreen Bobby ,Àlex Pastor,ParamountVantage LikelyStory IvyBoyProductions ThisIsThatProductions 
23685,en,Monkeybone,Adventure Fantasy Animation Action Comedy ,StuMiley Dr.JulieMcElroy Monkeybone(voice) ,Henry Selick,TwentiethCenturyFoxFilmCorporation 1492Pictures TwitchingImageStudio 
11866,en,Flight of the Phoenix,Action Adventure Drama Thriller ,FrankTowns A.J. Elliott ,John Moore,TwentiethCenturyFoxFilmCorporation DavisEntertainment AldrichGroup OptionalPictures 
9741,en,Unbreakable,Science Fiction Thriller Drama ,DavidDunn ElijahPrice AudreyDunn ,M. Night Shyamalan,LimitedEditionProductionsInc. TouchstonePictures BlindingEdgePictures BarryMendelProductions 
211672,en,Minions,Family Animation Adventure Comedy ,ScarletOverkill(voice) HerbOverkill(voice) WalterNelson(voice) ,Kyle Balda,UniversalPictures IlluminationEntertainment 
23629,en,Sucker Punch,Action Fantasy Thriller ,BabyDoll SweetPea Rocket ,Zack Snyder,LegendaryPictures WarnerBros. LennoxHouseFilms CruelandUnusualFilms 
8688,en,Snake Eyes,Crime Mystery ,RickSantoro CommanderKevinDunne GilbertPowell ,Brian De Palma,ParamountPictures DeBart TouchstonePictures Mel'sCiteduCinema 
10153,en,Sphere,Science Fiction ,Dr.NormanGoodman Dr.Elizabeth'Beth'Halperin Dr.HarryAdams ,Barry Levinson,PunchProductions WarnerBros. BaltimorePictures ConstantcProductions 
153518,en,The Angry Birds Movie,Family Animation ,Red(voice) Chuck(voice) Bomb(voice) ,Fergal Reilly,ColumbiaPictures RovioEntertainment SonyPicturesImageworks(SPI) RovioMobile RovioAnimation 
8676,en,Fool's Gold,Romance Comedy Adventure ,Ben'Finn'Finnegan TessFinnegan NigelHoneycutt ,Andy Tennant,DeLinePictures WarnerBros. 
20829,en,Funny People,Comedy Drama ,GeorgeSimmons IraWright Laura ,Judd Apatow,ColumbiaPictures UniversalPictures HappyMadisonProductions RelativityMedia ApatowProductions Madison23 
4349,en,The Kingdom,Thriller Action Drama ,RonaldFleury JanetMayes GrantSykes ,Peter Berg,UniversalPictures ForwardPass RelativityMedia FilmWorks MDBFZweiteFilmgesellschaft 
9718,en,Talladega Nights: The Ballad of Ricky Bobby,Comedy ,"RickyBobby CalNaughton,Jr. JeanGirard ",Adam McKay,ColumbiaPictures ApatowProductions 
10808,en,Dr. Dolittle 2,Comedy Family Romance Fantasy ,Dr.JohnDolittle LisaDolittle CharisseDolittle ,Steve Carr,TwentiethCenturyFoxFilmCorporation JosephM.SingerEntertainment DavisEntertainment 
197,en,Braveheart,Action Drama History War ,WilliamWallace MurronMacClannough PrincessIsabelle ,Mel Gibson,IconEntertainmentInternational TheLaddCompany B.H.FinanceC.V. 
25,en,Jarhead,Drama War ,StaffSgt.Sykes AnthonySwofford D.I.Fitch ,Sam Mendes,UniversalPictures NealStreetProductions RedWagonEntertainment MotionPictureKAPPAProduktionsgesellschaft 
35,en,The Simpsons Movie,Animation Comedy Family ,Homer/Itchy/Barney/Grampa/StageManager/KrustytheClown/MayorQuimby/Mayor'sAide/Multi-EyedSquirrel/PanickyMan/SideshowMel/Mr.Teeny/EPAOfficial/KissingCop/Bear/BoyonPhone/NSAWorker/Officer/Santa'sLittleHelper/Squeaky-VoicedTeen(voice) MargeSimpson/Selma/Patty(voice) BartSimpson/MaggieSimpson/Ralph/Nelson/ToddFlanders/TVDaughter/WomanonPhone(voice) ,David Silverman,GracieFilms TwentiethCenturyFoxFilmCorporation 
11086,en,The Majestic,Drama Romance ,PeterAppleton HarryTrimble AdeleStanton ,Frank Darabont,VillageRoadshowPictures CastleRockEntertainment NPVEntertainment DarkwoodsProductions 
10477,en,Driven,Action ,JimmyBly DemilleBly BeauBrandenburg ,Renny Harlin,EpsilonMotionPictures FranchisePictures TrackformFilmProductions Mel'sCiteduCinema 
1997,en,Two Brothers,Adventure Drama Family ,Naï-Rea AidanMcRory SeineExzellenz ,Jean-Jacques Annaud,PathéRennProductions TF1FilmsProduction Canal+ Pathe TwoBrothersProductions 
6947,en,The Village,Drama Mystery Thriller ,IvyWalker LuciusHunt NoahPercy ,M. Night Shyamalan,ScottRudinProductions TouchstonePictures BlindingEdgePictures 
3050,en,Doctor Dolittle,Comedy Family Fantasy ,Dr.JohnDolittle ArcherDolittle Dr.MarkWeller ,Betty Thomas,TwentiethCenturyFoxFilmCorporation JosephM.SingerEntertainment DavisEntertainment 
2675,en,Signs,Drama Thriller Science Fiction Mystery ,Rev.GrahamHess MerrillHess MorganHess ,M. Night Shyamalan,"Kennedy/MarshallCompany,The TouchstonePictures BlindingEdgePictures "
809,en,Shrek 2,Adventure Animation Comedy Family Fantasy ,Shrek(voice) Donkey(voice) PrincessFiona(voice) ,Andrew Adamson,DreamWorksSKG PacificDataImages(PDI) DreamWorksAnimation 
920,en,Cars,Animation Adventure Comedy Family ,LightningMcQueen(voice) DocHudson(voice) SallyCarrera(voice) ,John Lasseter,WaltDisneyPictures PixarAnimationStudios 
4806,en,Runaway Bride,Comedy Romance ,MaggieCarpenter IkeGraham PeggyFlemming ,Garry Marshall,ParamountPictures LakeshoreEntertainment TouchstonePictures InterscopeCommunications 
7451,en,xXx,Action Adventure Thriller ,XanderCage Yelena AgentAugustusGibbons ,Rob Cohen,ColumbiaPictures OriginalFilm RevolutionStudios 
228165,en,The SpongeBob Movie: Sponge Out of Water,Animation Adventure Comedy Family ,SpongeBob/Gary/AgreeableMobMember/Waffle(voice) Patrick/MaleFish/EagerCustomer(voice) Doctor/Squidward/AngryMobMember#2/Doughnut/SquidasaurusRex(voice) ,Paul Tibbitt,ParamountPictures NickelodeonMovies NickelodeonAnimationStudios UnitedPlanktonPictures DisruptionEntertainment ParamountAnimation 
3595,en,Ransom,Action Thriller ,TomMullen Det.JimmyShaker AgentLonnieHawkins ,Ron Howard,TouchstonePictures BrianGrazer/ScottRudinProductions 
16869,en,Inglourious Basterds,Drama Action Thriller War ,"LieutenantAldo""TheApache""Raine ShosannaDreyfus/EmmanuelleMimieux SSColonelHansLanda ",Quentin Tarantino,UniversalPictures ABandApart TheWeinsteinCompany ZehnteBabelsberg VisionaRomantica 
879,en,Hook,Adventure Fantasy Comedy Family ,PeterBanning CaptainJamesS.Hook Tinkerbell ,Steven Spielberg,AmblinEntertainment TriStarPictures 
1573,en,Die Hard 2,Action Thriller ,JohnMcClane HollyMcClane RichardThornburg ,Renny Harlin,TwentiethCenturyFoxFilmCorporation GordonCompany SilverPictures 
9257,en,S.W.A.T.,Action Thriller Crime ,Sgt.Dan'Hondo'Harrelson JimStreet ChrisSanchez ,Clark Johnson,OriginalFilm ColumbiaPicturesCorporation CamelotPictures ChrisLeeProductions IllusionEntertainment 
1903,en,Vanilla Sky,Drama Mystery Romance Science Fiction Thriller ,DavidAames SofiaSerrano JulieGianni ,Cameron Crowe,ParamountPictures Cruise-WagnerProductions VinylFilms 
9697,en,Lady in the Water,Drama Thriller Fantasy Mystery ,ClevelandHeep Mr.Dury HarryFarber ,M. Night Shyamalan,LegendaryPictures WarnerBros. BlindingEdgePictures 
395,en,AVP: Alien vs. Predator,Adventure Science Fiction Action ,AlexaWoods SebastiandeRosa GraemeMiller ,Paul W.S. Anderson,ImpactPictures StudioBabelsberg TwentiethCenturyFoxFilmCorporation DavisEntertainment StillkingFilms BrandywineProductions LonlinkProductions KutProductions InsideTrackFilms CharentonProductionsLimited RevolutionSunStudios 
23398,en,Alvin and the Chipmunks: The Squeakquel,Comedy Family Animation Fantasy Music ,Toby Ian Dave ,Betty Thomas,RegencyEnterprises Fox2000Pictures BagdasarianProductions 
10590,en,We Were Soldiers,Action History War ,Lt.Col.HalMoore Maj.Bruce'Snake'Crandall JulieMoore ,Randall Wallace,IconEntertainmentInternational WheelhouseEntertainment MotionPictureProductionGmbH&Co.ErsteKG 
117263,en,Olympus Has Fallen,Action Thriller ,MikeBanning PresidentBenjaminAsher LynneJacobs ,Antoine Fuqua,NuImageFilms MillenniumFilms 
200,en,Star Trek: Insurrection,Science Fiction Action Adventure Thriller ,CaptainJean-LucPicard CommanderWilliamT.Riker Lt.CommanderData ,Jonathan Frakes,ParamountPictures 
44943,en,Battle: Los Angeles,Action Science Fiction ,MichaelNantz WilliamMartinez Cpl.LeeImlay ,Jonathan Liebesman,ColumbiaPictures OriginalFilm RelativityMedia 
587,en,Big Fish,Adventure Fantasy Drama ,YoungerEdBloom OlderEdBloom WillBloom ,Tim Burton,ColumbiaPictures TheZanuckCompany Jinks/CohenCompany TimBurtonProductions 
10395,en,Wolf,Fantasy ,WillRandall RaymondAlden StewartSwinton ,Mike Nichols,ColumbiaPictures 
57212,en,War Horse,Drama War ,Capt.JamesNicholls Maj.JamieStewart GeordieSoldier ,Steven Spielberg,"DreamWorksSKG AmblinEntertainment RelianceEntertainment Kennedy/MarshallCompany,The "
152760,en,The Monuments Men,War Drama History Action ,JamesGranger ClaireSimone FrankStokes ,George Clooney,ColumbiaPictures StudioBabelsberg Fox2000Pictures SmokehousePictures ObeliskProductions 
2756,en,The Abyss,Adventure Action Thriller Science Fiction ,Virgil'Bud'Brigman LindseyBrigman LieutenantHiramCoffey ,James Cameron,TwentiethCenturyFoxFilmCorporation LightstormEntertainment PacificWestern 
33909,en,Wall Street: Money Never Sleeps,Drama Crime ,GordonGekko JacobMoore BrettonJames ,Oliver Stone,TwentiethCenturyFoxFilmCorporation DuneEntertainment DuneEntertainmentIII EdwardR.PressmanFilm 
49017,en,Dracula Untold,Horror Action Drama Fantasy War ,Dracula/VladTepes Mirena/MinaMurray MehmedII ,Gary Shore,UniversalPictures LegendaryPictures FujiTelevisionNetwork Dentsu MichaelDeLucaProductions 
9882,en,The Siege,Drama Action Thriller Crime ,Anthony'Hub'Hubbard EliseKraft/SharonBridger Major-GeneralWilliamDevereaux ,Edward Zwick,"TwentiethCenturyFoxFilmCorporation LyndaObstProductions BedfordFallsCompany,The "
2270,en,Stardust,Adventure Fantasy Romance Family ,Yvaine Tristan Lamia ,Matthew Vaughn,ParamountPictures IngeniousFilmPartners DiBonaventuraPictures MarvFilms VaughnProductions 
978,en,Seven Years in Tibet,Adventure Drama History ,"HeinrichHarrer DalaiLama,14YearsOld PeterAufschnaiter ",Jean-Jacques Annaud,TriStarPictures MandalayEntertainment Applecross Reperage&VanguardFilms 
44564,en,The Dilemma,Comedy Drama ,NickBrannen RonnyValentine GenevaBrannen ,Ron Howard,ImagineEntertainment UniversalPictures SpyglassEntertainment WildWestPictureShowProductions 
3132,en,Bad Company,Action Adventure Comedy Thriller ,OfficerOakes JakeHayes/KevinPope/MichaelTurner AdrikVas ,Joel Schumacher,JerryBruckheimerFilms TouchstonePictures StillkingFilms 
8814,en,Doom,Adventure Action Horror ,Sarge JohnGrimm SamanthaGrimm ,Andrzej Bartkowiak,DiBonaventuraPictures JohnWellsProductions ReaperProductions StillkingFilms BabelsbergFilm DoomProductions DistantPlanetProductions 
8427,en,I Spy,Action Adventure Comedy Thriller ,KellyRobinson AlexanderScott Rachel ,Betty Thomas,ColumbiaPicturesCorporation 
52520,en,Underworld: Awakening,Fantasy Action Horror ,Selene Dr.JacobLane DetectiveSebastian ,Måns Mårlind,LakeshoreEntertainment SaturnFilms ScreenGems SketchFilms UW4Productions 
80585,en,Rock of Ages,Comedy Drama Music Romance ,SherrieChristian DrewBoley StaceeJaxx ,Adam Shankman,NewLineCinema OffspringEntertainment CornerStoreEntertainment MaterialPictures 
10592,en,Hart's War,Drama War ,Col.WilliamA.McNamara Lt.ThomasW.Hart Lt.LincolnA.Scott ,Gregory Hoblit,DavidFosterProductions CheyenneEnterprises Metro-Goldwyn-Mayer(MGM) DavidLaddFilms 
49021,en,Killer Elite,Action Adventure Thriller ,Danny Spike Hunter ,Gary McKendry,CurrentEntertainment OmnilabMedia AmbienceEntertainment InternationalTraders OpenRoadFilms SighvatssonFilms PalomarPictures(II) FilmVictoria WalesCreativeIPFund 
11535,en,Rollerball,Action Science Fiction Thriller ,JonathanCross MarcusRidley Aurora ,John McTiernan,AtlasEntertainment Toho-Towa MosaicMediaGroup YorktownProductions HelkonMediaAG Metro-Goldwyn-Mayer(MGM) 
10550,en,Ballistic: Ecks vs. Sever,Action Adventure Thriller ,AgentJeremiahEcks AgentSever RobertGant ,Wych Kaosayananda,EpsilonMotionPictures FranchisePictures DanteEntertainment ChrisLeeProductions SuperMega MHFErsteAcademyFilmGmbH&Co.ProduktionsKG 
11258,en,Hard Rain,Thriller ,Jim Tom Sheriff ,Mikael Salomon,ParamountPictures Toho-Towa MutualFilmCompany PolyGramFilmedEntertainment Marubeni TeleMünchenFernsehProduktionsgesellschaft(TMG) UGCPH BritishBroadcastingCorporation(BBC)Television StargateStudios 
12610,en,Osmosis Jones,Adventure Animation Action Comedy Family ,OsmosisJones(voice) Thrax(voice) Drix(voice) ,Bobby Farrelly,ConundrumEntertainment WarnerBros.Animation WarnerBros. 
59981,en,Legends of Oz: Dorothy's Return,Animation Music Family ,Dorothy(voice) Scarecrow(voice) Tugg(voice) ,Dan St. Pierre,PranaAnimationStudios SummertimeEntertainment 
201088,en,Blackhat,Crime Drama Mystery ,NicholasHathaway ChenDawai ChenLien ,Michael Mann,UniversalPictures ForwardPass LegendaryPictures 
5137,en,Sky Captain and the World of Tomorrow,Mystery Action Thriller Science Fiction Adventure ,SkyCaptain PollyPerkins Dex ,Kerry Conran,ParamountPictures NaturalNylonEntertainment RiffRaffFilmProductions Filmauro BlueFlowerProductions BrooklynFilmsII 
3093,en,Basic Instinct 2,Crime Mystery Thriller ,CatherineTramell MichaelGlass MilenaGardosh ,Michael Caton-Jones,IntermediaFilms Kanzaman C-2Pictures IMFInternationaleMedienundFilmGmbH&Co.3.ProduktionsKG 
107846,en,Escape Plan,Action Thriller ,RayBreslin EmilRottmayer WillardHobbes ,Mikael Håfström,SummitEntertainment AtmosphereEntertainmentMM Emmett/FurlaFilms MarkCantonProductions EnvisionEntertainment Boies/SchillerFilmGroup KnightsbridgeEntertainment 
188207,en,The Legend of Hercules,Action Adventure ,Hercules Sotiris Hebe ,Renny Harlin,MillenniumFilms 
4614,en,The Sum of All Fears,Thriller Action Drama ,JackRyan DCIWilliamCabot PresidentRobertBobFowler ,Phil Alden Robinson,ParamountPictures MaceNeufeldProductions MFPMunichFilmPartnersGmbH&CompanyI.ProduktionsKG S.O.A.F.Productions Mel'sCiteduCinema 
24021,en,The Twilight Saga: Eclipse,Adventure Fantasy Drama Romance ,Isabella'Bella'Swan EdwardCullen JacobBlack ,David Slade,SummitEntertainment MaverickFilms ImprintEntertainment SunsweptEntertainment TempleHillEntertainment 
11371,en,The Score,Action Crime Thriller ,NickWells JackTeller Max ,Frank Oz,ParamountPictures MandalayPictures HorseshoeBayProductions 
20352,en,Despicable Me,Animation Family ,Gru(voice) Vector(voice) Dr.Nefario(voice) ,Pierre Coffin,UniversalPictures IlluminationEntertainment 
11517,en,Money Train,Action Comedy Crime ,John Charlie GraceSantiago ,Joseph Ruben,ColumbiaPictures 
214756,en,Ted 2,Comedy ,John Ted(voice) SamanthaJackson ,Seth MacFarlane,UniversalPictures FuzzyDoorProductions BluegrassFilms SmartEntertainment MediaRightsCapital(MRC) 
26428,en,Agora,Adventure Drama History ,Hypatia Davus Orestes ,Alejandro Amenábar,Himenóptero TelecincoCinema ModProducciones NimarStudios Canal+España InstitutodelaCinematografíaydelasArtesAudiovisuales(ICAA) GovernmentofMalta 
9824,en,Mystery Men,Adventure Fantasy Action Comedy Science Fiction ,Mr.Furious CasanovaFrankenstein Monica ,Kinka Usher,UniversalPictures DarkHorseEntertainment GolarProductions 
48988,en,Hall Pass,Comedy ,RickMills FredSearing MaggieMills ,Bobby Farrelly,NewLineCinema ConundrumEntertainment 
9008,en,The Insider,Drama Thriller ,LowellBergman JeffreyWigand MikeWallace ,Michael Mann,SpyglassEntertainment ForwardPass KaitzProductions Mann/RothProductions TouchstonePictures 
300673,en,The Finest Hours,Action Drama History Thriller ,BernieWebber RaySybert RichardLivesey ,Craig Gillespie,WaltDisneyPictures WhitakerEntertainment BergstenMusic RedHawkEntertainment 
12113,en,Body of Lies,Action Drama Thriller ,RogerFerris EdHoffman Hani ,Ridley Scott,ScottFreeProductions DeLinePictures WarnerBros. 
38778,en,Dinner for Schmucks,Comedy ,Barry TimWagner Julie ,Jay Roach,ParamountPictures DreamWorksSKG SpyglassEntertainment EverymanPictures RelianceBIGEntertainment Parkes/MacDonaldProductions 
72331,en,Abraham Lincoln: Vampire Hunter,Action Fantasy Horror ,AbrahamLincoln HenrySturgess WillJohnson ,Timur Bekmambetov,TwentiethCenturyFoxFilmCorporation BazelevsProduction TimBurtonProductions AbrahamProductions LocationGourmet 
1844,en,Entrapment,Romance Drama Mystery ,"Robert""Mac""MacDougal Virginia""Gin""Baker HectorCruz ",Jon Amiel,FountainbridgeFilms RegencyEnterprises 
846,en,The X Files,Mystery Science Fiction Thriller ,AgentFoxMulder AgentDanaScully AssistantDirectorWalterSkinner ,Rob Bowman,TwentiethCenturyFoxFilmCorporation TenThirteenProductions 
9703,en,The Last Legion,Action Adventure Fantasy War ,Aurelius Ambrosinus Mira ,Doug Lefler,IngeniousFilmPartners QuintaCommunications DinoDeLaurentiisCompany ZephyrFilms 
857,en,Saving Private Ryan,Drama History War ,CaptainJohnH.Miller PrivateJamesFrancisRyan PrivateAdrianCaparzo ,Steven Spielberg,ParamountPictures DreamWorksSKG AmblinEntertainment MutualFilmCompany MarkGordonProductions 
136797,en,Need for Speed,Action Crime Drama Thriller ,TobeyMarshall DinoBrewster JuliaMaddon ,Scott Waugh,DreamWorksSKG RelianceEntertainment BanditoBrothers TouchstonePictures ElectronicArts RevolutionSunStudios 
3981,en,What Women Want,Comedy Romance ,DarcyMcGuire NickMarshall Lola ,Nancy Meyers,ParamountPictures CentropolisEntertainment IconEntertainmentInternational WindDancerProductions 
425,en,Ice Age,Animation Comedy Family Adventure ,Manny(voice) Sid(voice) Diego(voice) ,Chris Wedge,TwentiethCenturyFoxFilmCorporation BlueSkyStudios TwentiethCenturyFoxAnimation 
6171,en,Dreamcatcher,Drama Horror Science Fiction Thriller ,Col.AbrahamCurtis Dr.HenryDevlin Joe'Beaver'Clarenden ,Lawrence Kasdan,VillageRoadshowPictures CastleRockEntertainment NPVEntertainment KasdanPictures WVFilmsII 
72976,en,Lincoln,History Drama ,AbrahamLincoln MaryToddLincoln WilliamSeward ,Steven Spielberg,DreamWorks AmblinEntertainment TwentiethCenturyFoxFilmCorporation DuneEntertainment TheKennedy/MarshallCompany ParticipantMedia RelianceEntertainment 
603,en,The Matrix,Action Science Fiction ,"Thomas""Neo""Anderson Morpheus Trinity ",Lilly Wachowski,VillageRoadshowPictures GrouchoIIFilmPartnership SilverPictures WarnerBros. 
568,en,Apollo 13,Drama ,JimLovell FredHaise JackSwigert ,Ron Howard,ImagineEntertainment UniversalPictures 
9021,en,The Santa Clause 2,Fantasy Comedy Family ,"ScottCalvin/SantaClause PrincipalCarolNewman Bernard,derElf ",Michael Lembeck,WaltDisneyPictures OutlawProductions BoxingCatFilms 
82695,en,Les Misérables,Drama Music Romance ,JeanValjean Javert Fantine ,Tom Hooper,UniversalPictures RelativityMedia CAMERONMACKINTOSH WorkingTitleFilms 
9489,en,You've Got Mail,Comedy Romance ,JoeFox KathleenKelly YoungKathleenKelly ,Nora Ephron,WarnerBros. 
12133,en,Step Brothers,Comedy ,BrennanHuff DaleDoback NancyHuff ,Adam McKay,ColumbiaPictures MosaicMediaGroup GarySanchezProductions RelativityMedia ApatowProductions 
9342,en,The Mask of Zorro,Action Adventure ,AlejandroMurrieta/Zorro DonDiegodelaVega/Zorro ElenaMontero/ElenaMurrieta ,Martin Campbell,AmblinEntertainment TriStarPictures 
41733,en,Due Date,Comedy Drama ,PeterHighman EthanTremblay SarahHighman ,Todd Phillips,LegendaryPictures GreenHatFilms WarnerBros. 
227306,en,Unbroken,Drama War ,LouisZamperini RusselAllen'Phil'Phillips JohnFitzgerald ,Angelina Jolie,LegendaryPictures 3ArtsEntertainment JoliePas 
5551,en,Space Cowboys,Action Adventure Thriller ,FrankCorvin HawkHawkins JerryO`Neill ,Clint Eastwood,VillageRoadshowPictures MalpasoProductions MadChance WarnerBros. ClipsalFilms DigitalImageAssociates 
9350,en,Cliffhanger,Action Adventure Thriller ,GabeWalker EricQualen HalTucker ,Renny Harlin,TriStarPictures Canal+ CarolcoPictures RCSVideo CliffhangerProductions Pioneer 
9208,en,Broken Arrow,Action Adventure Drama Thriller ,Maj.Vic'Deak'Deakins Capt.RileyHale TerryCarmichael ,John Woo,TwentiethCenturyFoxFilmCorporation WCGEntertainmentProductions MarkGordonProductions 
4244,en,The Kid,Fantasy Comedy Family ,RussellDuritz RustyDuritz Amy ,Jon Turteltaub,WaltDisneyPictures 
1852,en,World Trade Center,Drama History Thriller ,JohnMcLoughlin DonnaMcLoughlin AllisonJimeno ,Oliver Stone,ParamountPictures DoubleFeatureFilms IntermediaFilms KernosFilmproduktionsgesellschaft&Company 
11820,en,Mona Lisa Smile,Drama Romance ,KatherineAnnWatson BettyWarren JoanBrandwyn ,Mike Newell,ColumbiaPictures RevolutionStudios 
76493,en,The Dictator,Comedy ,Aladeen/Efawadh Omar Doctor ,Larry Charles,ParamountPictures 
345,en,Eyes Wide Shut,Mystery Drama ,Dr.William'Bill'Harford AliceHarford HelenaHarford ,Stanley Kubrick,HobbyFilms PoleStar StanleyKubrickProductions WarnerBros. 
196867,en,Annie,Comedy Drama Family ,"AnnieBeckett William""Will""Stacks GraceFarell ",Will Gluck,ColumbiaPictures OliveBridgeEntertainment SonyPicturesEntertainment(SPE) OverbrookEntertainment MarcyMedia 
256591,en,Focus,Romance Comedy Crime Drama ,Nicky JessBarrett Garriga ,Glenn Ficarra,Kramer&SigmanFilms RatPac-DuneEntertainment ZaftigFilms 
59962,en,This Means War,Action Comedy Romance ,Lauren FDRFoster Tuck ,McG,DuneEntertainment OverbrookFilms RobertSimondsProductions 
36648,en,Blade: Trinity,Science Fiction Action Horror Thriller Adventure Fantasy ,Blade Whistler Drake ,David S. Goyer,NewLineCinema AmenRaFilms ShawnDanielleProductionsLtd. ImaginaryForces MarvelEnterprises PeterFrankfurtProductions 
1880,en,Red Dawn,Action Thriller ,Jed Robert Erica ,John Milius,UnitedArtists ValkyrieFilms 
9440,en,Primary Colors,Comedy Drama ,JackStanton SusanStanton RichardJemmons ,Mike Nichols,UniversalPictures MutualFilmCompany 
71679,en,Resident Evil: Retribution,Action Horror Science Fiction ,Alice JillValentine RainOcampo ,Paul W.S. Anderson,Davis-Films 
10483,en,Death Race,Action Thriller Science Fiction ,JensenAmes WardenHennessey Coach ,Paul W.S. Anderson,UniversalPictures Cruise/WagnerProductions ImpactPictures RelativityMedia ScionFilms H2S2Filmproduktionsgesellschaft 
11412,en,The Long Kiss Goodnight,Crime Action Mystery Thriller ,SamanthaCaine/CharlyBaltimore MitchHenessey CaitlinCaine ,Renny Harlin,NewLineCinema Forge TheSteveTischCompany 
11983,en,Proof of Life,Action Adventure Drama Romance Thriller ,AliceBowman TerryThorne PeterBowman ,Taylor Hackford,CastleRockEntertainment WarnerBros. 
6795,en,Zathura: A Space Adventure,Family Fantasy Science Fiction Adventure ,Danny Walter Astronaut ,Jon Favreau,ColumbiaPicturesCorporation TeitlerFilm MichaelDeLucaProductions RadarPictures 
550,en,Fight Club,Drama ,TheNarrator TylerDurden Robert'Bob'Paulson ,David Fincher,RegencyEnterprises Fox2000Pictures TaurusFilm LinsonFilms AtmanEntertainment KnickerbockerFilms 
11170,en,We Are Marshall,Drama ,JackLengyel RedDawson NateRuffin ,McG,LegendaryPictures ThunderRoadPictures WonderlandSoundandVision WarnerBros. 
9292,en,Hudson Hawk,Action Adventure Comedy ,Eddie'HudsonHawk'Hawkins TommyFive-Tone AnnaBaragli ,Michael Lehmann,TriStarPictures SilverPictures 
10783,en,Lucky Numbers,Action Adventure Comedy Crime Romance Thriller ,RussRichards Crystal Gig ,Nora Ephron,ParamountPictures StudioCanal 
100241,en,"I, Frankenstein",Horror Thriller ,Adam Terra Naberius ,Stuart Beattie,LakeshoreEntertainment SidneyKimmelEntertainment Lionsgate HopscotchFilms 
257,en,Oliver Twist,Crime Drama Family ,OliverTwist Fagin BillSikes ,Roman Polanski,R.P.Productions ETICFilms RunteamIIILtd. 
9947,en,Elektra,Action Fantasy ,ElektraNatchios/Elektra MarkMiller Kirigi ,Rob Bowman,TwentiethCenturyFoxFilmCorporation RegencyEnterprises EpsilonMotionPictures NewRegencyPictures MarvelEnterprises HorseshoeBayProductions ElektraProductions SAIProductions 
189,en,Sin City: A Dame to Kill For,Crime Thriller ,Marv Nancy Dwight ,Robert Rodriguez,MiramaxFilms TroublemakerStudios ARFilms AldamisaEntertainment DemarestFilms SolipsistFilm Residaco 
12618,en,Random Hearts,Drama Romance ,DutchVanDenBroeck KayChandler Alcee ,Sydney Pollack,ColumbiaPictures 
253412,en,Everest,Adventure Drama ,RobHall ScottFischer BeckWeathers ,Baltasar Kormákur,UniversalPictures WorkingTitleFilms WaldenMedia CrossCreekPictures FreeStatePictures RVKStudios 
1427,en,Perfume: The Story of a Murderer,Crime Fantasy Drama ,Jean-BaptisteGrenouille BürgermeistervonGrasse BischofvonGrasse ,Tom Tykwer,Davis-Films NouvellesÉditionsdeFilms(NEF) RisingStar VIPMedienfonds4 IkiruFilms ConstantinFilmProduktion CastelaoProducciones 
818,en,Austin Powers in Goldmember,Comedy Crime Science Fiction ,AustinPowers/Dr.Evil/Goldmember/FatBastard FoxxyCleopatra ScottEvil ,Jay Roach,NewLineCinema Eric'sBoy TeamTodd MovingPictures GratitudeInternational 
